y=1595, x=454..478
x=460, y=1350..1371
y=891, x=577..590
x=616, y=1387..1404
y=545, x=517..532
x=622, y=416..424
x=600, y=903..907
x=557, y=163..176
y=926, x=667..674
x=528, y=993..1009
y=1504, x=608..618
x=443, y=322..336
x=630, y=749..762
y=1620, x=471..478
x=591, y=122..141
y=705, x=590..609
x=666, y=1845..1851
x=496, y=1042..1054
x=580, y=979..988
x=677, y=531..537
y=1775, x=511..513
y=28, x=589..612
y=684, x=589..594
x=610, y=796..805
y=98, x=500..505
x=436, y=1435..1443
x=635, y=875..884
x=497, y=1232..1236
x=648, y=846..849
y=1949, x=527..545
y=1565, x=538..554
x=582, y=365..386
x=502, y=117..129
x=461, y=690..692
x=640, y=1027..1043
x=498, y=1528..1553
y=1786, x=671..674
x=634, y=592..602
y=1924, x=441..465
x=606, y=733..735
y=443, x=568..585
x=468, y=1060..1071
x=447, y=1973..1984
x=672, y=532..537
x=448, y=722..731
x=667, y=965..985
x=653, y=707..710
x=490, y=893..914
y=1438, x=477..558
x=537, y=222..232
x=621, y=1155..1162
y=1898, x=435..440
x=480, y=1141..1145
y=1502, x=551..567
x=550, y=64..90
x=473, y=672..681
x=618, y=1032..1043
y=1688, x=592..617
x=605, y=1381..1383
y=1902, x=429..454
x=582, y=476..489
y=1085, x=580..607
x=459, y=764..771
x=634, y=1014..1024
x=634, y=73..89
x=663, y=1821..1832
x=636, y=1621..1623
x=577, y=779..781
y=429, x=668..670
x=530, y=439..448
x=496, y=1660..1673
x=463, y=765..771
x=569, y=1046..1054
x=589, y=1663..1671
y=1832, x=430..454
x=506, y=643..670
x=536, y=1940..1944
x=619, y=781..786
y=731, x=432..448
y=643, x=526..529
x=530, y=1366..1375
x=520, y=1200..1204
x=631, y=1563..1574
x=615, y=1847..1850
x=515, y=1640..1650
y=648, x=493..500
x=571, y=346..357
x=660, y=846..849
x=676, y=393..403
x=508, y=978..1001
x=637, y=914..927
x=463, y=1478..1481
y=1291, x=445..455
y=741, x=599..618
y=1898, x=572..576
y=357, x=557..571
y=922, x=518..540
y=1593, x=559..561
x=649, y=911..923
y=1210, x=641..663
x=545, y=983..987
y=625, x=578..592
x=595, y=1053..1064
x=430, y=1819..1832
x=454, y=1521..1539
x=518, y=310..319
y=1172, x=520..528
x=484, y=1766..1780
x=527, y=1287..1296
x=479, y=1363..1376
x=534, y=1569..1580
x=587, y=1808..1809
x=460, y=523..531
y=1396, x=485..503
x=587, y=1489..1495
x=446, y=639..664
x=543, y=146..156
y=280, x=434..436
y=1235, x=593..617
x=500, y=98..105
y=1654, x=637..659
x=534, y=777..784
x=448, y=1827..1829
x=558, y=146..156
y=1936, x=485..507
x=553, y=1017..1031
x=579, y=1625..1649
y=586, x=461..463
x=604, y=857..877
y=1348, x=601..607
x=589, y=898..907
x=529, y=627..643
x=479, y=1754..1760
x=572, y=1896..1898
x=523, y=1066..1073
x=462, y=1869..1882
y=1694, x=476..492
y=79, x=541..544
x=618, y=750..762
x=503, y=1618..1629
x=673, y=1877..1880
x=478, y=1708..1711
y=907, x=593..600
y=1481, x=651..655
y=27, x=545..548
x=521, y=1308..1320
x=461, y=1170..1180
y=595, x=507..523
y=1458, x=468..470
x=602, y=1399..1401
x=533, y=1141..1162
x=660, y=1901..1903
x=642, y=702..714
x=542, y=605..608
x=449, y=1317..1339
x=523, y=574..595
x=640, y=746..750
x=667, y=1247..1256
y=1890, x=525..539
x=678, y=1250..1253
x=616, y=1872..1873
y=1354, x=575..581
y=567, x=473..490
x=613, y=1707..1715
y=585, x=539..596
x=632, y=962..964
x=429, y=1032..1036
x=612, y=26..28
x=464, y=550..563
y=1040, x=651..665
y=242, x=572..576
y=1024, x=488..490
x=506, y=528..552
x=501, y=837..854
x=602, y=1059..1061
y=1519, x=547..551
y=100, x=657..670
x=515, y=1594..1607
y=141, x=591..597
x=572, y=1800..1827
x=509, y=1553..1563
x=473, y=555..567
x=657, y=1383..1408
y=337, x=477..493
x=573, y=364..377
x=482, y=117..129
y=692, x=512..526
x=439, y=1436..1443
y=1944, x=536..538
y=1917, x=451..454
y=444, x=589..617
y=190, x=502..527
y=1496, x=492..494
x=628, y=1133..1146
x=507, y=1878..1880
x=649, y=707..710
x=483, y=1810..1819
x=533, y=15..33
x=442, y=726..728
x=575, y=39..64
x=481, y=726..733
y=1914, x=608..620
x=480, y=438..455
y=771, x=466..468
y=725, x=580..602
y=439, x=577..579
y=1510, x=595..600
y=38, x=500..518
x=614, y=1000..1002
x=486, y=1948..1960
y=1073, x=620..640
y=1882, x=444..462
y=319, x=628..648
y=236, x=464..471
x=539, y=1594..1607
x=623, y=872..881
x=571, y=958..966
x=552, y=262..274
x=635, y=265..289
x=537, y=822..838
y=432, x=657..680
y=1036, x=429..441
x=469, y=1827..1838
x=589, y=678..684
x=490, y=1641..1650
y=497, x=431..453
x=447, y=523..531
x=634, y=1396..1424
y=1850, x=615..621
y=108, x=493..518
x=620, y=812..820
y=89, x=634..636
x=515, y=1256..1260
x=623, y=279..291
y=531, x=551..592
x=475, y=477..486
y=1622, x=661..680
x=596, y=698..701
x=508, y=1677..1702
x=443, y=1114..1128
y=156, x=543..558
y=1073, x=523..543
x=576, y=708..719
y=838, x=537..565
x=472, y=1953..1961
x=678, y=879..884
x=529, y=1552..1563
y=785, x=556..595
x=500, y=206..220
y=1263, x=501..528
x=666, y=1927..1951
y=1553, x=485..498
y=1793, x=441..448
x=485, y=1361..1371
x=477, y=1426..1438
x=552, y=242..254
x=519, y=1112..1116
y=56, x=503..507
x=497, y=363..385
y=537, x=672..677
x=508, y=1141..1162
x=649, y=805..828
x=479, y=1185..1196
x=537, y=1276..1280
y=56, x=433..435
y=1119, x=631..633
x=502, y=180..190
x=493, y=253..265
x=635, y=625..639
x=631, y=1117..1119
x=651, y=122..145
x=501, y=754..757
y=1711, x=469..478
x=528, y=346..362
y=50, x=642..653
x=497, y=1142..1145
y=336, x=435..443
x=641, y=958..968
x=509, y=1350..1353
x=580, y=716..725
x=513, y=1572..1580
x=561, y=899..907
y=1142, x=616..618
x=512, y=665..692
x=513, y=644..657
x=641, y=891..898
x=610, y=1132..1146
x=622, y=1310..1325
y=716, x=530..535
y=1834, x=611..625
y=1770, x=511..513
x=670, y=95..100
x=491, y=314..324
x=624, y=1155..1162
x=553, y=1578..1605
x=530, y=716..718
y=937, x=577..591
y=757, x=490..501
y=18, x=596..618
x=616, y=1053..1064
x=592, y=1542..1566
x=544, y=247..251
x=568, y=263..274
x=627, y=857..859
y=1211, x=555..576
x=513, y=1745..1758
x=558, y=1427..1438
x=539, y=247..251
x=625, y=857..859
x=464, y=642..669
y=1339, x=449..464
x=637, y=893..905
y=548, x=592..609
x=549, y=1696..1705
x=620, y=1910..1914
x=575, y=941..951
x=557, y=345..357
y=1809, x=587..607
y=927, x=637..656
y=1955, x=492..494
x=535, y=202..215
x=481, y=409..428
y=1484, x=608..619
x=490, y=792..796
x=625, y=1807..1809
x=501, y=868..887
y=951, x=575..589
y=172, x=516..532
x=630, y=1158..1169
x=549, y=995..1021
y=270, x=557..562
y=1580, x=534..538
x=601, y=1345..1348
x=568, y=1577..1605
y=1901, x=660..664
x=477, y=333..337
x=439, y=282..290
x=640, y=1458..1482
x=519, y=1813..1815
x=590, y=694..705
x=597, y=208..217
x=589, y=655..666
x=492, y=393..394
x=552, y=284..294
x=588, y=779..781
x=633, y=1117..1119
y=1877, x=671..673
x=682, y=826..842
y=274, x=552..568
x=569, y=1392..1398
y=1461, x=558..575
y=832, x=571..581
y=1874, x=546..561
x=455, y=1722..1745
y=985, x=596..606
y=662, x=595..606
x=501, y=1949..1960
x=516, y=1220..1243
x=521, y=223..232
y=1146, x=610..628
x=575, y=1382..1402
x=479, y=1253..1257
y=1378, x=437..450
x=469, y=1721..1745
y=696, x=446..471
x=571, y=828..832
x=563, y=979..988
x=507, y=1232..1236
x=526, y=664..692
y=1243, x=488..516
x=467, y=1186..1196
y=1103, x=557..559
y=987, x=545..554
y=526, x=659..663
y=271, x=515..517
x=668, y=1079..1086
x=595, y=555..564
x=503, y=1884..1894
x=608, y=592..602
x=446, y=686..696
x=505, y=246..251
x=604, y=995..1006
x=662, y=182..190
y=1520, x=678..681
y=1337, x=510..532
x=484, y=979..1001
x=446, y=1471..1486
x=577, y=406..419
x=463, y=584..586
y=1447, x=646..648
x=565, y=324..336
y=1499, x=557..561
x=628, y=105..116
x=607, y=857..877
y=1961, x=629..646
x=672, y=1009..1012
y=1900, x=613..634
x=562, y=712..716
x=535, y=716..718
y=1601, x=529..532
x=607, y=121..128
y=1280, x=519..537
x=538, y=789..794
x=543, y=1065..1073
y=17, x=492..509
x=678, y=1499..1520
y=1903, x=660..664
x=626, y=872..881
x=636, y=133..149
x=671, y=1846..1851
x=445, y=491..494
x=663, y=964..985
y=505, x=552..556
y=1404, x=597..616
x=462, y=1185..1195
x=558, y=1448..1461
y=1958, x=636..638
x=454, y=731..743
y=291, x=540..544
x=452, y=889..904
x=635, y=1482..1485
x=597, y=1388..1404
y=884, x=618..635
x=611, y=133..149
x=546, y=440..448
x=610, y=1839..1856
x=611, y=670..684
y=1880, x=507..509
x=601, y=473..475
y=667, x=493..500
y=563, x=513..540
x=663, y=255..263
y=849, x=648..660
x=608, y=1758..1762
y=568, x=590..608
y=1563, x=509..529
y=1815, x=500..519
y=564, x=595..598
y=1940, x=606..612
x=676, y=1250..1253
x=633, y=585..587
x=466, y=764..771
y=1649, x=563..579
x=519, y=430..449
x=574, y=322..330
x=654, y=937..948
x=472, y=1976..1980
x=622, y=1708..1715
x=624, y=1657..1664
x=509, y=529..552
x=674, y=619..645
x=619, y=1758..1762
x=609, y=539..548
x=606, y=395..410
y=1765, x=526..543
y=1012, x=656..672
y=824, x=610..629
y=1702, x=508..514
y=799, x=432..440
x=462, y=1802..1813
y=1103, x=607..631
x=577, y=436..439
x=544, y=832..835
x=455, y=208..226
y=302, x=478..499
y=605, x=474..481
y=1793, x=482..487
y=1854, x=461..466
x=667, y=899..926
y=1395, x=536..538
y=832, x=544..557
x=606, y=1930..1940
x=515, y=280..303
x=565, y=306..315
y=1951, x=657..666
x=613, y=1524..1534
x=510, y=1328..1337
x=572, y=220..242
y=246, x=652..658
x=527, y=181..190
y=78, x=497..499
x=552, y=1466..1476
x=532, y=285..294
x=628, y=314..319
y=749, x=470..497
x=491, y=1719..1731
x=577, y=1017..1031
x=448, y=1494..1500
y=1024, x=612..634
y=805, x=542..610
y=1637, x=591..606
x=555, y=365..377
y=1838, x=469..489
y=419, x=560..577
y=816, x=449..471
x=575, y=1447..1461
y=844, x=601..619
x=631, y=1091..1103
y=33, x=533..554
x=613, y=1880..1900
x=502, y=988..990
x=504, y=280..303
x=589, y=26..28
y=1009, x=516..528
y=336, x=565..583
y=377, x=555..573
y=455, x=480..487
x=473, y=523..547
x=671, y=375..376
y=771, x=459..463
x=585, y=430..443
y=1552, x=662..672
y=743, x=454..457
x=468, y=764..771
x=551, y=1516..1519
y=165, x=659..675
x=499, y=1863..1872
x=438, y=1803..1813
x=437, y=1353..1378
y=1310, x=561..574
x=587, y=372..377
x=539, y=575..585
y=487, x=459..469
y=1982, x=562..569
x=521, y=1646..1650
x=474, y=1153..1176
y=968, x=624..641
x=444, y=550..563
x=536, y=1749..1760
y=352, x=562..564
y=710, x=649..653
x=488, y=478..486
x=462, y=1102..1112
x=562, y=476..489
x=620, y=1032..1043
x=611, y=854..864
y=1650, x=490..515
x=681, y=382..385
x=645, y=1179..1181
x=593, y=903..907
x=664, y=1901..1903
x=535, y=1165..1186
x=657, y=1928..1951
x=522, y=1831..1837
y=966, x=566..571
x=471, y=1523..1551
x=634, y=556..564
x=613, y=1766..1781
x=434, y=1970..1972
x=545, y=1571..1584
y=683, x=543..560
x=534, y=912..916
x=454, y=1917..1921
y=1028, x=561..568
y=254, x=441..452
y=728, x=440..442
x=651, y=1730..1756
x=451, y=1725..1733
x=604, y=1562..1574
x=466, y=1852..1854
x=638, y=1953..1958
x=487, y=1571..1580
x=463, y=1409..1432
x=592, y=613..625
y=372, x=587..589
x=643, y=1869..1881
x=507, y=431..449
x=482, y=185..199
x=546, y=498..511
x=612, y=343..347
x=573, y=455..466
x=610, y=815..824
y=1862, x=454..477
x=518, y=790..794
y=1398, x=567..569
x=446, y=153..170
y=1424, x=634..639
x=627, y=233..245
y=385, x=663..681
x=602, y=715..725
y=1432, x=457..463
x=655, y=1117..1132
x=574, y=1301..1310
y=60, x=498..514
x=567, y=1392..1398
x=516, y=992..1009
x=666, y=1822..1832
x=440, y=782..799
y=870, x=661..666
y=1371, x=485..489
x=674, y=899..926
y=620, x=460..463
y=1946, x=455..475
x=507, y=1911..1936
x=487, y=1791..1793
x=618, y=1488..1504
x=508, y=1166..1186
x=444, y=1870..1882
y=1726, x=524..530
y=1856, x=610..627
x=450, y=1352..1378
x=621, y=625..639
y=1050, x=501..504
y=1894, x=499..503
y=563, x=444..464
x=474, y=586..605
x=626, y=475..478
x=455, y=558..560
x=479, y=1519..1531
x=640, y=1069..1073
x=513, y=556..563
y=1329, x=588..592
x=538, y=1563..1565
x=665, y=1025..1040
x=453, y=481..497
y=748, x=502..513
x=542, y=1268..1279
x=595, y=775..785
x=619, y=834..844
x=523, y=644..657
y=1976, x=624..626
x=586, y=86..107
y=747, x=527..530
y=1361, x=653..661
x=670, y=1592..1597
x=609, y=234..245
y=486, x=475..488
x=612, y=1015..1024
x=529, y=1532..1543
x=500, y=28..38
x=519, y=1275..1280
x=525, y=131..133
y=1325, x=622..635
y=1584, x=529..545
x=499, y=280..302
x=505, y=98..105
x=577, y=865..891
y=666, x=570..589
y=199, x=478..482
x=524, y=539..542
x=582, y=207..217
x=466, y=392..394
y=379, x=638..656
x=609, y=59..63
x=570, y=403..416
x=612, y=978..987
x=657, y=1867..1883
x=480, y=1078..1091
x=592, y=1674..1688
y=145, x=651..655
y=898, x=641..661
y=289, x=635..659
x=538, y=1391..1395
y=1335, x=553..557
x=463, y=609..620
x=486, y=868..887
y=884, x=657..678
y=1512, x=643..656
y=190, x=662..680
x=496, y=792..796
y=1731, x=488..491
x=662, y=1630..1640
y=1733, x=432..451
y=245, x=609..627
y=531, x=447..460
x=601, y=676..687
y=719, x=556..576
x=457, y=207..226
x=465, y=831..837
y=221, x=614..634
y=1248, x=530..537
x=610, y=733..735
x=530, y=389..415
x=646, y=1940..1961
x=495, y=1364..1376
y=1572, x=564..570
x=632, y=106..116
x=657, y=880..884
y=415, x=524..530
x=565, y=382..392
x=493, y=648..667
y=315, x=541..565
x=652, y=389..396
x=452, y=243..254
y=1481, x=463..468
x=662, y=792..803
y=1605, x=553..568
y=988, x=563..580
x=540, y=556..563
x=616, y=1424..1439
y=1384, x=460..476
y=1968, x=498..500
x=668, y=582..593
x=470, y=578..589
x=545, y=1937..1949
y=940, x=508..514
x=642, y=935..945
y=1560, x=515..520
y=1296, x=503..527
x=618, y=9..18
x=497, y=75..78
x=520, y=868..886
y=1482, x=638..640
x=650, y=1659..1667
y=1260, x=512..515
x=471, y=1788..1799
x=510, y=246..251
y=1977, x=493..516
x=464, y=217..236
y=254, x=530..552
x=488, y=1172..1179
y=768, x=587..611
x=568, y=1174..1186
y=1749, x=534..536
x=445, y=1276..1291
x=523, y=1330..1333
x=640, y=111..115
y=21, x=652..667
x=562, y=497..511
x=557, y=1318..1335
y=552, x=506..509
x=431, y=482..497
x=498, y=173..175
x=583, y=325..336
x=632, y=1483..1485
x=520, y=1172..1175
y=1195, x=450..462
y=115, x=640..663
x=492, y=495..517
x=569, y=1445..1458
x=672, y=1534..1552
x=514, y=1676..1702
y=864, x=611..633
x=663, y=381..385
x=628, y=674..681
y=1132, x=655..680
x=546, y=1847..1874
x=608, y=1362..1366
x=658, y=230..246
x=462, y=1248..1260
x=485, y=70..84
x=512, y=1256..1260
x=476, y=1683..1694
y=394, x=466..492
x=589, y=1959..1972
x=652, y=231..246
y=1175, x=520..528
x=548, y=1466..1476
y=698, x=596..602
y=1417, x=466..485
y=1699, x=659..678
x=493, y=1965..1977
x=581, y=85..107
x=569, y=1977..1982
x=557, y=832..835
y=362, x=528..549
x=601, y=177..179
x=646, y=416..424
x=596, y=963..985
x=530, y=938..964
x=636, y=1953..1958
y=1781, x=613..638
y=1142, x=445..470
y=1735, x=478..498
x=666, y=1203..1217
x=430, y=878..893
y=1760, x=462..479
x=650, y=1873..1884
y=1186, x=568..651
x=462, y=154..170
x=478, y=1593..1595
x=659, y=827..842
x=607, y=1090..1103
x=441, y=244..254
x=501, y=1251..1263
y=251, x=505..510
y=1775, x=464..481
x=618, y=394..410
x=536, y=1112..1116
x=608, y=1489..1504
y=63, x=582..609
x=485, y=347..352
x=429, y=1851..1858
x=592, y=1324..1329
x=607, y=1345..1348
x=520, y=1550..1560
x=657, y=407..432
x=577, y=1697..1705
x=556, y=709..719
x=485, y=1527..1553
y=794, x=518..538
x=488, y=837..854
y=619, x=629..638
x=678, y=1089..1094
y=646, x=558..578
x=488, y=1719..1731
x=559, y=1099..1103
y=852, x=516..543
x=589, y=372..377
y=589, x=454..470
x=670, y=1895..1915
x=445, y=1135..1142
x=659, y=1685..1699
x=663, y=110..115
x=582, y=1102..1112
x=450, y=352..361
x=609, y=694..705
x=549, y=691..701
x=498, y=622..624
x=563, y=1664..1671
x=461, y=584..586
x=554, y=1617..1629
y=1366, x=585..608
x=619, y=238..240
x=483, y=642..670
y=1832, x=663..666
x=500, y=648..667
y=1064, x=595..616
x=538, y=1569..1580
x=527, y=1937..1949
y=1742, x=546..553
x=461, y=1704..1716
x=518, y=903..922
y=369, x=676..679
x=478, y=186..199
x=636, y=73..89
y=1398, x=518..544
x=555, y=1198..1211
y=1112, x=582..591
y=1279, x=542..675
x=529, y=1572..1584
x=529, y=912..916
x=553, y=1716..1742
y=299, x=488..492
x=548, y=1288..1300
x=621, y=238..240
x=482, y=1681..1691
x=523, y=262..274
y=1075, x=657..664
x=477, y=673..681
x=466, y=1406..1417
y=558, x=663..668
y=116, x=628..632
x=440, y=1896..1898
x=599, y=731..741
x=460, y=1039..1059
y=1872, x=499..526
y=733, x=473..481
y=1186, x=508..535
x=613, y=1808..1809
y=336, x=632..642
x=485, y=1910..1936
x=475, y=1934..1946
x=581, y=828..832
x=482, y=252..265
x=612, y=1930..1940
y=1458, x=566..569
y=1915, x=654..670
x=525, y=1881..1890
y=517, x=492..497
x=562, y=1978..1982
x=476, y=1378..1384
x=454, y=605..631
x=501, y=1921..1932
y=490, x=648..657
x=675, y=146..165
y=560, x=451..455
y=1960, x=486..501
x=512, y=1350..1353
x=618, y=1524..1534
x=626, y=1034..1046
x=596, y=1542..1566
x=630, y=1424..1439
y=1260, x=449..462
y=1168, x=582..585
x=503, y=1287..1296
y=837, x=465..472
x=638, y=1765..1781
x=548, y=1531..1543
x=558, y=1469..1480
y=803, x=662..682
x=433, y=42..56
y=361, x=435..450
y=602, x=586..608
y=641, x=567..570
x=442, y=271..275
y=1300, x=487..494
x=467, y=1171..1180
x=497, y=740..749
x=509, y=1877..1880
x=570, y=654..666
y=410, x=606..618
x=507, y=1752..1754
x=517, y=201..215
x=627, y=1840..1856
y=1603, x=529..532
x=570, y=633..641
x=500, y=988..990
y=1495, x=579..587
x=607, y=1059..1061
y=349, x=562..564
x=604, y=1721..1747
y=403, x=676..678
x=653, y=1338..1361
y=129, x=482..502
